Recall,NFS,SU,MacroF1,Acc
-0.99912738,0.47727273,-0.84177447,-0.99905179,-0.99910608
-1.,0.48484848,-0.83579927,-1.,-1.
-0.99951923,0.46969697,-0.8313031,-0.99936796,-0.99940405
-1.,0.36363636,-0.66977329,-1.,-1.
-1.,0.45454545,-0.8077386,-1.,-1.
-1.,0.42424242,-0.76294431,-1.,-1.
-1.,0.42424242,-0.76294431,-1.,-1.
-0.99975962,0.46969697,-0.82928156,-0.99968393,-0.99970203
-1.,0.43939394,-0.78109966,-1.,-1.
-1.,0.40909091,-0.73942309,-1.,-1.
-1.,0.40909091,-0.73942309,-1.,-1.
-0.99927885,0.50757576,-0.88517716,-0.99905208,-0.99910608
-1.,0.43181818,-0.77399771,-1.,-1.
-0.99975962,0.5,-0.87391632,-0.99968393,-0.99970203
-0.99960815,0.46969697,-0.81952284,-0.99968384,-0.99970203
-1.,0.36363636,-0.66977329,-1.,-1.
-1.,0.43181818,-0.77399771,-1.,-1.
-0.99840623,0.51515152,-0.89688802,-0.99810444,-0.99821216
-0.99936777,0.51515152,-0.88702848,-0.99936777,-0.99940405
-1.,0.45454545,-0.8077386,-1.,-1.
-0.99855769,0.49242424,-0.85848372,-0.99810501,-0.99821216
-1.,0.4469697,-0.7927315,-1.,-1.
-0.99903846,0.43939394,-0.78650881,-0.9987363,-0.9988081
-1.,0.43939394,-0.78109966,-1.,-1.
-0.99903846,0.4469697,-0.79779038,-0.9987363,-0.9988081
-0.99864661,0.43939394,-0.78160506,-0.99842013,-0.99851013
-1.,0.48484848,-0.83579927,-1.,-1.
-0.99855769,0.47727273,-0.83824408,-0.99810501,-0.99821216
-0.99951923,0.47727273,-0.83824408,-0.99936796,-0.99940405
-0.99864661,0.51515152,-0.88702848,-0.99842013,-0.99851013
-0.99951923,0.45454545,-0.808845,-0.99936796,-0.99940405
-0.99855769,0.43181818,-0.77426916,-0.99810501,-0.99821216
-0.99951923,0.49242424,-0.86302829,-0.99936796,-0.99940405
-0.99960815,0.46969697,-0.81952284,-0.99968384,-0.99970203
-0.99879808,0.48484848,-0.85319033,-0.99842061,-0.99851013
-0.99903846,0.46212121,-0.81970404,-0.9987363,-0.9988081
-0.99960815,0.51515152,-0.87424999,-0.99968384,-0.99970203
-1.,0.49242424,-0.84181214,-1.,-1.
-0.99903846,0.45454545,-0.808845,-0.9987363,-0.9988081
-1.,0.28787879,-0.55043881,-1.,-1.
-1.,0.28787879,-0.55043881,-1.,-1.
-1.,0.28787879,-0.55043881,-1.,-1.
