Recall,NFS,SU,MacroF1,Acc
-1.,0.34848485,-0.64617252,-1.,-1.
-0.99975962,0.52272727,-0.86664324,-0.99968393,-0.99970203
-1.,0.34848485,-0.64617252,-1.,-1.
-1.,0.3030303,-0.57630558,-1.,-1.
-1.,0.21212121,-0.41941889,-1.,-1.
-0.99960815,0.53787879,-0.85569333,-0.99968384,-0.99970203
-0.99975962,0.41666667,-0.74836632,-0.99968393,-0.99970203
-1.,0.42424242,-0.74761864,-1.,-1.
-0.99879808,0.53787879,-0.85569333,-0.99842061,-0.99851013
-0.99903846,0.50757576,-0.86664324,-0.9987363,-0.9988081
-1.,0.46212121,-0.8087134,-1.,-1.
-1.,0.22727273,-0.45509398,-1.,-1.
-0.9965359,0.33333333,-0.62316717,-0.99683691,-0.99702026
-1.,0.36363636,-0.66883523,-1.,-1.
-1.,0.21212121,-0.41941889,-1.,-1.
-0.99936777,0.18181818,-0.35660778,-0.99936777,-0.99940405
-0.99879808,0.48484848,-0.83202475,-0.99842061,-0.99851013
-0.99840623,0.53787879,-0.85569333,-0.99810444,-0.99821216
-1.,0.39393939,-0.71426205,-1.,-1.
-1.,0.22727273,-0.45509398,-1.,-1.
-1.,0.37121212,-0.67971805,-1.,-1.
-0.99557436,0.32575758,-0.61128694,-0.99557436,-0.99582837
-1.,0.22727273,-0.45509398,-1.,-1.
-0.99975962,0.51515152,-0.86458796,-0.99968393,-0.99970203
-1.,0.40909091,-0.73587754,-1.,-1.
-0.9965359,0.34848485,-0.64665624,-0.99683691,-0.99702026
-1.,0.21212121,-0.41941889,-1.,-1.
-1.,0.35606061,-0.65792084,-1.,-1.
-1.,0.53787879,-0.85569333,-1.,-1.
-0.99677628,0.34848485,-0.64665624,-0.99715278,-0.99731824
-0.99936777,0.18939394,-0.37150606,-0.99936777,-0.99940405
-1.,0.36363636,-0.66883523,-1.,-1.
-1.,0.25,-0.4914122,-1.,-1.
-0.99879808,0.52272727,-0.86677175,-0.99842061,-0.99851013
-0.99840623,0.53787879,-0.85569333,-0.99810444,-0.99821216
-1.,0.40151515,-0.72479154,-1.,-1.
-1.,0.36363636,-0.66883523,-1.,-1.
-0.9965359,0.32575758,-0.61128694,-0.99683691,-0.99702026
-1.,0.29545455,-0.56423236,-1.,-1.
-1.,0.42424242,-0.74761864,-1.,-1.
-0.99903846,0.52272727,-0.86664324,-0.9987363,-0.9988081
-0.99840623,0.49242424,-0.83225985,-0.99810444,-0.99821216
-1.,0.21969697,-0.44334566,-1.,-1.
-0.99840623,0.50757576,-0.85494558,-0.99810444,-0.99821216
-1.,0.34848485,-0.64617252,-1.,-1.
\,n
-0.99801438,0.27272727,-0.52867808,-0.99778818,-0.99791418
-1.,0.26515152,-0.51693816,-1.,-1.
-0.99840623,0.46969697,-0.82612359,-0.99810444,-0.99821216
-0.99801438,0.34848485,-0.64408168,-0.99778818,-0.99791418
-1.,0.54545455,-0.90051895,-1.,-1.
-0.99975962,0.56060606,-0.90088762,-0.99968393,-0.99970203
-1.,0.43939394,-0.78250471,-1.,-1.
-1.,0.35606061,-0.65580076,-1.,-1.
-0.99855769,0.17424242,-0.3503984,-0.99810501,-0.99821216
-0.99960815,0.17424242,-0.34587618,-0.99968384,-0.99970203
-0.99879808,0.51515152,-0.87511978,-0.99842061,-0.99851013
-0.99840623,0.51515152,-0.87519891,-0.99810444,-0.99821216
-0.99975962,0.37878788,-0.69239119,-0.99968393,-0.99970203
-1.,0.22727273,-0.45350743,-1.,-1.
-1.,0.34090909,-0.63033145,-1.,-1.
-0.99960815,0.41666667,-0.74700079,-0.99968384,-0.99970203
-1.,0.18939394,-0.38686662,-1.,-1.
-0.99801438,0.21212121,-0.42655395,-0.99778818,-0.99791418
-0.99762253,0.48484848,-0.84698073,-0.99747183,-0.99761621
-0.99801438,0.24242424,-0.47743624,-0.99778818,-0.99791418
-1.,0.53030303,-0.88888889,-1.,-1.
-0.99840623,0.48484848,-0.83779883,-0.99810444,-0.99821216
-1.,0.18939394,-0.38686662,-1.,-1.
-0.99801438,0.23484848,-0.46524735,-0.99778818,-0.99791418
-1.,0.31818182,-0.59468266,-1.,-1.
-1.,0.51515152,-0.87519891,-1.,-1.
