Recall;NFS;MI;MacroF1
-0.996166484;0.363636364;-0.686759912;-0.998008661
-1;0.386363636;-0.713301413;-1
-0.996710526;0.348484848;-0.66445678;-0.998008239
-1;0.25;-0.506879199;-1
-1;0.522727273;-0.806377865;-0.999335656
-1;0.257575758;-0.518612065;-1
-1;0.265151515;-0.532161813;-1
-0.998901702;0.484848485;-0.840760869;-0.999114491
-1;0.287878788;-0.567713275;-1
-0.998901702;0.507575758;-0.855208042;-0.999114491
-1;0.310606061;-0.603583859;-1
-0.999451153;0.28030303;-0.555254802;-0.999778646
-0.997808219;0.287878788;-0.570249648;-0.999114867
-1;0.356060606;-0.670334553;-1
-0.997808219;0.295454545;-0.580477758;-0.999114867
-1;0.303030303;-0.590707319;-1
-1;0.272727273;-0.543205474;-1
-1;0.295454545;-0.579384119;-1
-1;0.325757576;-0.62581282;-1
-0.999450851;0.5;-0.839200281;-0.999557245
-1;0.318181818;-0.613121077;-1
-0.999450549;0.46969697;-0.819500558;-0.999335797
-0.997808219;0.310606061;-0.605071167;-0.999114867
-0.999450851;0.409090909;-0.746543975;-0.999557245
-0.998901702;0.386363636;-0.718814334;-0.999114491
-0.996712329;0.416666667;-0.766396153;-0.998229733
-0.999450851;0.492424242;-0.839179534;-0.999557245
-1;0.371212121;-0.69362767;-1
-0.997261774;0.393939394;-0.728094668;-0.9988937
-0.998352554;0.356060606;-0.675784468;-0.998671736
-0.998353458;0.431818182;-0.785239371;-0.998893231
-1;0.340909091;-0.648478123;-1
-0.998902305;0.424242424;-0.769012978;-0.999335939
-1;0.507575758;-0.80912018;-0.999114113
-0.998353458;0.446969697;-0.805584038;-0.998893231
-0.998902305;0.439393939;-0.791724465;-0.999335939
-0.998902305;0.401515152;-0.735659589;-0.999335939
-1;0.28030303;-0.555159465;-1
-0.998901702;0.378787879;-0.709808949;-0.999114491
-1;0.515151515;-0.801128602;-0.999335656
-0.999451153;0.272727273;-0.543513534;-0.999778646
-0.997808219;0.303030303;-0.591799279;-0.999114867
-0.998353458;0.454545455;-0.814274213;-0.998893231
-0.998902907;0.416666667;-0.736220474;-0.999557339
-1;0.522727273;-0.811795939;-0.999114113
-0.998901702;0.333333333;-0.639037431;-0.999114491
-1;0.348484848;-0.65754613;-1
-0.999450247;0.439393939;-0.797777918;-0.999114302
-1;0.333333333;-0.63868936;-1
-0.998901099;0.363636364;-0.685301148;-0.998892995
-0.998901702;0.401515152;-0.738810807;-0.999114491
-0.998902305;0.46969697;-0.824826466;-0.999335939
-0.997808219;0.325757576;-0.628125555;-0.999114867
-0.998901702;0.431818182;-0.782290921;-0.999114491
-0.998352554;0.386363636;-0.722597371;-0.998671736
-1;0.393939394;-0.725283664;-1
-0.999450851;0.424242424;-0.768223559;-0.999557245
-0.997808219;0.348484848;-0.661035591;-0.999114867
-0.997258772;0.477272727;-0.83228898;-0.998450852
-0.999450851;0.477272727;-0.830093532;-0.999557245
-0.999450247;0.340909091;-0.651458609;-0.999114302
-0.999450851;0.462121212;-0.812639285;-0.999557245
-1;0.446969697;-0.794273172;-0.999557151
-0.998901099;0.409090909;-0.753085402;-0.998892995
-0.999451153;0.46969697;-0.77644337;-0.999778646
-0.999451153;0.318181818;-0.614181559;-0.999778646
-0.998901099;0.371212121;-0.69808957;-0.998892995
-0.997808219;0.318181818;-0.617871565;-0.999114867
-0.999451153;0.454545455;-0.774089275;-0.999778646
-0.997808219;0.333333333;-0.642379366;-0.999114867
-1;0.424242424;-0.740922007;-0.999557151
-1;0.378787879;-0.701638222;-1
-0.999450851;0.416666667;-0.759374906;-0.999557245
-0.998352554;0.409090909;-0.754242564;-0.998671736
-0.997808219;0.356060606;-0.676777545;-0.999114867
-0.998354361;0.424242424;-0.777535681;-0.999114679
-0.999450549;0.386363636;-0.714864168;-0.999335797
