Framework;Algorithm;Problem;Seed;HV;GD;IGD;;;;
moeadr;moead;dtlz3;10;59.87970324;1.777966578;0.19423012;;;;
moeadr;moead;dtlz3;11;62.09499468;3.370852437;0.262638901;;;;
moeadr;moead;dtlz3;11;61.3313753;2.3555258;0.2533965;;;;
;;;;;;;;;;
pymoo;nsga2;dtlz3;1;0;120.042808;2.045711764;;;;
pymoo;nsga2;dtlz3;2;31.73545065;130.2334402;0.742895467;;;;
pymoo;nsga2;dtlz3;3;0;120.042808;2.045711764;;;;
pymoo;nsga2;dtlz3;4;31.9230623;117.2089094;0.737032602;;;;
pymoo;nsga2;dtlz3;5;31.52193077;134.4404625;0.749567963;Mejor;31.9230623;1.17E+02;7.37E-01
pymoo;nsga2;dtlz3;6;0;120.6369415;1.755361771;Media;7.933053149;129.9347656;3.380813481
pymoo;nsga2;dtlz3;7;0;139.7944448;5.063243452;Peor;0;1.51E+02;1.64E+01
pymoo;nsga2;dtlz3;8;0;150.9166925;16.37273742;;;;
pymoo;nsga2;dtlz3;9;0;131.7184418;2.437549744;;;;
pymoo;nsga2;dtlz3;10;0.016194067;125.8541707;1.734122235;;;;
pymoo;nsga2;dtlz3;11;0;148.6286921;4.840115784;;;;
pymoo;nsga2;dtlz3;11;0;119.6993755;2.0457118;;;;
;;;;;;;;;;
pymoo;nsga3;dtlz3;1;63.77995552;0.001554468;0.001130188;;;;
pymoo;nsga3;dtlz3;2;63.77981772;0.001377334;0.001006906;;;;
pymoo;nsga3;dtlz3;3;63.77995552;0.001554468;0.001130188;;;;
pymoo;nsga3;dtlz3;4;63.77989457;0.001250781;0.000901498;;;;
pymoo;nsga3;dtlz3;5;63.77987279;0.001610259;0.001134842;Mejor;63.77997513;1.25E-03;9.01E-04
pymoo;nsga3;dtlz3;6;63.77988042;0.001608325;0.001147962;Media;63.77985742;0.001535056;0.00111574
pymoo;nsga3;dtlz3;7;63.77997513;0.001385073;0.000983369;Peor;63.77960157;1.93E-03;1.42E-03
pymoo;nsga3;dtlz3;8;63.77991402;0.001322832;0.000965693;;;;
pymoo;nsga3;dtlz3;9;63.77960157;0.001591721;0.001218609;;;;
pymoo;nsga3;dtlz3;10;63.77973786;0.001934844;0.001421023;;;;
pymoo;nsga3;dtlz3;11;63.77972841;0.001676066;0.001218403;;;;
pymoo;nsga3;dtlz3;11;63.7799555;0.0015545;0.0011302;;;;
;;;;;;;;;;
rmoo;nsga2;dtlz3;1;36.72933709;32.75743439;0.714244727;;;;
rmoo;nsga2;dtlz3;2;36.1050434;19.21136839;0.725500976;;;;
rmoo;nsga2;dtlz3;3;46.90686463;44.1275221;0.556599741;;;;
rmoo;nsga2;dtlz3;4;31.92543515;33.06482064;0.736958451;;;;
rmoo;nsga2;dtlz3;5;31.95067739;49.80544656;0.736169631;Mejor;47.96291229;1.84E+00;5.55E-01
rmoo;nsga2;dtlz3;6;31.99998012;35.40944953;0.73462892;Media;38.70557659;26.82589052;0.686407559
rmoo;nsga2;dtlz3;7;47.96291229;19.2462677;0.554931373;Peor;30.04586924;4.98E+01;8.21E-01
rmoo;nsga2;dtlz3;8;45.56016724;21.66441904;0.567717991;;;;
rmoo;nsga2;dtlz3;9;45.87622246;1.842875676;0.821438584;;;;
rmoo;nsga2;dtlz3;10;47.40441014;14.35226177;0.55844182;;;;
rmoo;nsga2;dtlz3;11;30.04586924;32.46461079;0.795630191;;;;
rmoo;nsga2;dtlz3;11;31.9999999;17.9642096;0.7346283;;;;
;;;;;;;;;;
rmoo;nsga3;dtlz3;1;63.77940113;0.00175204;0.001292744;;;;
rmoo;nsga3;dtlz3;2;63.77895956;0.001613908;0.001333805;;;;
rmoo;nsga3;dtlz3;3;63.77906892;0.001604902;0.001251969;;;;
rmoo;nsga3;dtlz3;4;63.77902162;0.001392721;0.001165709;;;;
rmoo;nsga3;dtlz3;5;63.77881258;0.001439276;0.001252612;Mejor;63.779591;2.32E-04;2.24E-04
rmoo;nsga3;dtlz3;6;63.77844552;0.002197563;0.001832574;Media;63.77862661;0.001762838;0.00150428
rmoo;nsga3;dtlz3;7;63.77433823;0.004683028;0.004608876;Peor;63.77433823;4.68E-03;4.61E-03
rmoo;nsga3;dtlz3;8;63.77919334;0.001802273;0.001434637;;;;
rmoo;nsga3;dtlz3;9;63.77872199;0.001521908;0.001271394;;;;
rmoo;nsga3;dtlz3;10;63.77903116;0.001719804;0.001405143;;;;
rmoo;nsga3;dtlz3;11;63.77893432;0.001194836;0.000977899;;;;
rmoo;nsga3;dtlz3;11;63.779591;0.0002318;0.000224;;;;
;;;;;;;;;;
deap;nsga2;dtlz7;1;197.5697276;0.122454029;0.054349823;;;;
deap;nsga2;dtlz7;2;198.9680714;0.12772305;0.04769932;;;;
deap;nsga2;dtlz7;3;200.1160529;0.13225876;0.026397023;;;;
deap;nsga2;dtlz7;4;145.379871;0.094503987;0.224267735;;;;
deap;nsga2;dtlz7;5;150.8161373;0.118857219;0.13167815;Mejor;200.1160529;6.57E-02;2.64E-02
deap;nsga2;dtlz7;6;198.049407;0.141601868;0.053656755;Media;169.263174;0.118641489;0.140666608
deap;nsga2;dtlz7;7;150.3623201;0.116835202;0.128794085;Peor;90.01293696;1.42E-01;6.77E-01
deap;nsga2;dtlz7;8;150.5520336;0.125884559;0.13070855;;;;
deap;nsga2;dtlz7;9;90.01293696;0.065650323;0.67697341;;;;
deap;nsga2;dtlz7;10;199.0059087;0.141690628;0.04298402;;;;
deap;nsga2;dtlz7;11;150.7469467;0.124505745;0.130012123;;;;
deap;nsga2;dtlz7;11;199.5786753;0.1117325;0.0404783;;;;
;;;;;;;;;;
deap;nsga3;dtlz7;1;199.7954942;0.145667076;0.027601238;;;;
deap;nsga3;dtlz7;2;145.1160174;0.099405617;0.255578283;;;;
deap;nsga3;dtlz7;3;199.5866275;0.142082039;0.03161329;;;;
deap;nsga3;dtlz7;4;195.0843029;0.139908082;0.025773586;;;;
deap;nsga3;dtlz7;5;199.4418586;0.137959863;0.029166822;;;;
deap;nsga3;dtlz7;6;89.99711938;0.062818516;0.676904194;;;;
deap;nsga3;dtlz7;7;199.491401;0.151302736;0.026322381;;;;
deap;nsga3;dtlz7;8;199.9095714;0.142953354;0.028574252;;;;
deap;nsga3;dtlz7;9;199.659521;0.128858389;0.028559165;Mejor;200.155358;6.28E-02;2.41E-02
deap;nsga3;dtlz7;10;200.155358;0.149817882;0.030882546;Media;179.2307055;0.127193247;0.116344392
deap;nsga3;dtlz7;11;199.8371976;0.143099824;0.030294465;Peor;89.99711938;1.54E-01;6.77E-01
deap;nsga3;dtlz7;12;144.6112111;0.096694259;0.223130342;;;;
deap;nsga3;dtlz7;13;145.1371901;0.094270937;0.255139014;;;;
deap;nsga3;dtlz7;14;199.7720313;0.139477585;0.030866854;;;;
deap;nsga3;dtlz7;15;199.8942029;0.137864178;0.029134969;;;;
deap;nsga3;dtlz7;16;199.2913237;0.147901864;0.027235704;;;;
deap;nsga3;dtlz7;17;196.5823841;0.140798427;0.029380171;;;;
deap;nsga3;dtlz7;18;199.5415905;0.153801192;0.031094089;;;;
deap;nsga3;dtlz7;19;142.12216;0.099980044;0.233388533;;;;
deap;nsga3;dtlz7;20;199.3161395;0.143654854;0.02414039;;;;
deap;nsga3;dtlz7;21;144.4018316;0.09974202;0.226031841;;;;
deap;nsga3;dtlz7;11;144.3309878;0.1001927;0.2587645;;;;
;;;;;;;;;;
moeadr;moead;dtlz7;1;89.3778975;0.960039079;0.684937229;;;;
moeadr;moead;dtlz7;2;89.39165387;0.515374363;0.684673877;;;;
moeadr;moead;dtlz7;3;89.39140528;1.373627052;0.684709427;;;;
