Recall,NFS,SU,MacroF1,Acc
-0.99739891,0.46774194,-0.62479706,-0.99728621,-0.99729242
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99933273,0.35483871,-0.49961799,-0.99932142,-0.9993231
-0.99914052,0.2983871,-0.41935983,-0.99909528,-0.99909747
-0.99957026,0.34677419,-0.48910007,-0.99954762,-0.99954874
-0.99675431,0.48387097,-0.63969159,-0.99660798,-0.99661552
-0.99804352,0.49193548,-0.65249685,-0.99796452,-0.99796931
-0.99933273,0.44354839,-0.59829807,-0.99932142,-0.9993231
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99933273,0.37096774,-0.51488939,-0.99932142,-0.9993231
-0.99933273,0.30645161,-0.44576558,-0.99932142,-0.9993231
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99933273,0.40322581,-0.55450581,-0.99932142,-0.9993231
-0.99933273,0.31451613,-0.45501327,-0.99932142,-0.9993231
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99933273,0.30645161,-0.44576558,-0.99932142,-0.9993231
-0.99933273,0.40322581,-0.55450581,-0.99932142,-0.9993231
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99933273,0.38709677,-0.53278171,-0.99932142,-0.9993231
-0.99933273,0.41129032,-0.56207018,-0.99932142,-0.9993231
-0.99933273,0.30645161,-0.44576558,-0.99932142,-0.9993231
-0.99957026,0.32258065,-0.46175559,-0.99954762,-0.99954874
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99933273,0.41935484,-0.56905416,-0.99932142,-0.9993231
-0.99935539,0.30645161,-0.4441467,-0.99932145,-0.9993231
\,n
-0.99804352,0.34677419,-0.49005328,-0.99796452,-0.99796931
-1.,0.17741935,-0.29374845,-1.,-1.
-0.99911786,0.30645161,-0.44410173,-0.99909524,-0.99909747
-0.99847326,0.50806452,-0.64911035,-0.99841678,-0.99842058
-0.99890299,0.25806452,-0.39077386,-0.99886908,-0.99887184
-0.99761378,0.56451613,-0.69259437,-0.9975123,-0.99751805
-0.99849592,0.52419355,-0.66150295,-0.99841685,-0.99842058
-0.99957026,0.37096774,-0.49964189,-0.99954762,-0.99954874
-0.99933273,0.45967742,-0.59508287,-0.99932142,-0.9993231
-0.99868813,0.40322581,-0.55140247,-0.99864293,-0.99864621
-0.99935539,0.30645161,-0.44253931,-0.99932145,-0.9993231
-0.99718404,0.51612903,-0.66814155,-0.99706012,-0.99706679
-0.99911786,0.21774194,-0.34511917,-0.99909524,-0.99909747
-0.99892566,0.41935484,-0.56891993,-0.99886913,-0.99887184
-0.99957026,0.27419355,-0.40667514,-0.99954762,-0.99954874
-0.99718404,0.54032258,-0.68614908,-0.99706012,-0.99706679
-0.99868813,0.41129032,-0.56033527,-0.99864293,-0.99864621
-0.99718404,0.54032258,-0.68614908,-0.99706012,-0.99706679
-0.99718404,0.52419355,-0.67709393,-0.99706012,-0.99706679
-0.99911786,0.2983871,-0.43555475,-0.99909524,-0.99909747
-0.99914052,0.26612903,-0.39778917,-0.99909528,-0.99909747
-0.99914052,0.37903226,-0.52458473,-0.99909528,-0.99909747
-0.99739891,0.53225806,-0.68360245,-0.99728621,-0.99729242
-0.99847326,0.50806452,-0.64911035,-0.99841678,-0.99842058
-0.99890299,0.37096774,-0.51696117,-0.99886908,-0.99887184
-0.99849592,0.52419355,-0.66150295,-0.99841685,-0.99842058
-0.99933273,0.44354839,-0.58603465,-0.99932142,-0.9993231
-0.99935539,0.22580645,-0.35328896,-0.99932145,-0.9993231
-0.99914052,0.33870968,-0.47952652,-0.99909528,-0.99909747
-0.99890299,0.22580645,-0.35406039,-0.99886908,-0.99887184
-0.99890299,0.25806452,-0.39077386,-0.99886908,-0.99887184
-0.99849592,0.52419355,-0.66150295,-0.99841685,-0.99842058
-0.99825839,0.52419355,-0.66625287,-0.99819065,-0.99819495
-0.99718404,0.52419355,-0.67709393,-0.99706012,-0.99706679
-0.99957026,0.20967742,-0.33258234,-0.99954762,-0.99954874
-0.99825839,0.42741935,-0.5796738,-0.99819065,-0.99819495
-0.99847326,0.35483871,-0.49913946,-0.99841678,-0.99842058
-0.99890299,0.22580645,-0.35406039,-0.99886908,-0.99887184
-0.99933273,0.42741935,-0.5683179,-0.99932142,-0.9993231
-0.99914052,0.33870968,-0.47952652,-0.99909528,-0.99909747
-0.99914052,0.37903226,-0.52458473,-0.99909528,-0.99909747
-0.99911786,0.32258065,-0.46280009,-0.99909524,-0.99909747
-0.99761378,0.56451613,-0.69259437,-0.9975123,-0.99751805
-0.99957026,0.31451613,-0.45141008,-0.99954762,-0.99954874
-0.99890299,0.39516129,-0.54175559,-0.99886908,-0.99887184
-0.99868813,0.49193548,-0.6400552,-0.99864293,-0.99864621
-0.99847326,0.41935484,-0.57003503,-0.99841678,-0.99842058
-0.99890299,0.23387097,-0.36293905,-0.99886908,-0.99887184
-0.99933273,0.45967742,-0.59508287,-0.99932142,-0.9993231
-0.99914052,0.31451613,-0.45244507,-0.99909528,-0.99909747
