Framework;Algorithm;Problem;Seed;HV;GD;IGD;;;;
;;;;;;;;;;
pymoo;nsga2;zdt2;1;3.32773257;0.003966044;0.002778155;;;;
pymoo;nsga2;zdt2;2;3.327537844;0.003719755;0.002492566;;;;
pymoo;nsga2;zdt2;3;3.32773257;0.003966044;0.002778155;;;;
pymoo;nsga2;zdt2;4;3.327730771;0.003891733;0.002659309;;;;
pymoo;nsga2;zdt2;5;3.327893793;0.003821564;0.002525557;Mejor;3.328107762;0.003719755;0.002304555
pymoo;nsga2;zdt2;6;3.3276449;0.004099463;0.002750011;Media;3.327715018;0.004003235;0.002681268
pymoo;nsga2;zdt2;7;3.327830908;0.004296164;0.002772012;Peor;3.327240187;0.00433498;0.002304555
pymoo;nsga2;zdt2;8;3.328107762;0.003840128;0.002304555;;;;
pymoo;nsga2;zdt2;9;3.32771753;0.004310951;0.002670541;;;;
pymoo;nsga2;zdt2;10;3.327678814;0.00433498;0.002965483;;;;
pymoo;nsga2;zdt2;11;3.327240187;0.003825953;0.002700721;;;;
pymoo;nsga2;zdt2;11;3.32773257;0.00396604;0.00277815;;;;
;;;;;;;;;;
pymoo;nsga2;zdt3;1;4.814827125;0.004802438;0.001525609;;;;
pymoo;nsga2;zdt3;2;4.814935116;0.005453524;0.001372826;;;;
pymoo;nsga2;zdt3;3;4.814827125;0.004802438;0.001525609;;;;
pymoo;nsga2;zdt3;4;4.814921135;0.00508491;0.001428845;;;;
pymoo;nsga2;zdt3;5;4.814920467;0.004998346;0.001524491;Mejor;4.814983118;0.004802438;0.001372826
pymoo;nsga2;zdt3;6;4.814840586;0.005445364;0.001510239;Media;4.814858323;0.005242011;0.001527461
pymoo;nsga2;zdt3;7;4.814983118;0.005401828;0.001505227;Peor;4.814759864;0.006314019;0.001372826
pymoo;nsga2;zdt3;8;4.814783385;0.004926651;0.001435683;;;;
pymoo;nsga2;zdt3;9;4.814867564;0.005763931;0.001557502;;;;
pymoo;nsga2;zdt3;10;4.814759864;0.006314019;0.001761303;;;;
pymoo;nsga2;zdt3;11;4.814807255;0.005108244;0.001656589;;;;
pymoo;nsga2;zdt3;11;4.81482713;0.00480244;0.00152561;;;;
;;;;;;;;;;
pymoo;nsga2;zdt4;1;15.66114147;0.004656784;0.002622091;;;;
pymoo;nsga2;zdt4;2;15.65499996;0.005081705;0.003893533;;;;
pymoo;nsga2;zdt4;3;15.66114147;0.004656784;0.002622091;;;;
pymoo;nsga2;zdt4;4;15.65409105;0.005953621;0.004280904;;;;
pymoo;nsga2;zdt4;5;15.65526041;0.005463597;0.00389685;Mejor;15.66114147;0.004634349;0.00262209
pymoo;nsga2;zdt4;6;15.65441241;0.004634349;0.003931664;Media;15.65783564;0.021891985;0.003423061
pymoo;nsga2;zdt4;7;15.66042406;0.00518086;0.002979224;Peor;15.6518953;0.202522128;0.00262209
pymoo;nsga2;zdt4;8;15.6518953;0.010150326;0.004374652;;;;
pymoo;nsga2;zdt4;9;15.66008471;0.004891626;0.003243054;;;;
pymoo;nsga2;zdt4;10;15.66074253;0.004855257;0.003093888;;;;
pymoo;nsga2;zdt4;11;15.65869286;0.202522128;0.003516696;;;;
pymoo;nsga2;zdt4;11;15.66114147;0.00465678;0.00262209;;;;
;;;;;;;;;;
pymoo;nsga2;zdt5;1;3.808592332;0.097190491;0.06516569;;;;
pymoo;nsga2;zdt5;2;3.820002243;0.062636859;0.051794448;;;;
pymoo;nsga2;zdt5;3;3.808592332;0.097190491;0.06516569;;;;
pymoo;nsga2;zdt5;4;3.827352843;0.073956626;0.058523901;;;;
pymoo;nsga2;zdt5;5;3.825797287;0.084025971;0.058539302;Mejor;3.861540532;0.04483887;0.044943797
pymoo;nsga2;zdt5;6;3.843002243;0.084204471;0.051794448;Media;3.827230238;0.078262389;0.05567488
pymoo;nsga2;zdt5;7;3.824079024;0.101957588;0.058610598;Peor;3.808592332;0.101957588;0.044943797
pymoo;nsga2;zdt5;8;3.835096087;0.04483887;0.044943797;;;;
pymoo;nsga2;zdt5;9;3.827352843;0.092963858;0.058523901;;;;
pymoo;nsga2;zdt5;10;3.835096087;0.04749641;0.044943797;;;;
pymoo;nsga2;zdt5;11;3.861540532;0.056301787;0.044943797;;;;
pymoo;nsga2;zdt5;11;3.810259;0.09638525;0.06514919;;;;
;;;;;;;;;;
pymoo;nsga2;zdt6;1;14.46942294;0.003605284;0.003553183;;;;
pymoo;nsga2;zdt6;2;14.46764822;0.003449027;0.003574088;;;;
pymoo;nsga2;zdt6;3;14.46942294;0.003605284;0.003553183;;;;
pymoo;nsga2;zdt6;4;14.4703363;0.003637916;0.003601727;;;;
pymoo;nsga2;zdt6;5;14.46659559;0.003683305;0.003884053;Mejor;14.4703363;0.003324717;0.003404906
pymoo;nsga2;zdt6;6;14.46878144;0.00369894;0.003747928;Media;14.46881323;0.003620271;0.003662331
pymoo;nsga2;zdt6;7;14.46954447;0.003324717;0.003404906;Peor;14.46659559;0.003897755;0.003404906
pymoo;nsga2;zdt6;8;14.46922979;0.00364439;0.003514747;;;;
pymoo;nsga2;zdt6;9;14.46804937;0.003689225;0.0038358;;;;
pymoo;nsga2;zdt6;10;14.47004698;0.003602126;0.003592489;;;;
pymoo;nsga2;zdt6;11;14.46725779;0.003897755;0.004132688;;;;
pymoo;nsga2;zdt6;11;14.46942294;0.00360528;0.00355318;;;;
;;;;;;;;;;
pymoo;nsga3;zdt1;1;3.66155456;0.003497126;0.002215994;;;;
pymoo;nsga3;zdt1;2;3.661502725;0.00352338;0.002232579;;;;
pymoo;nsga3;zdt1;3;3.66155456;0.003497126;0.002215994;;;;
pymoo;nsga3;zdt1;4;3.66156167;0.00351483;0.002224027;;;;
pymoo;nsga3;zdt1;5;3.661554641;0.003516409;0.002230037;Mejor;3.66156167;0.003493303;0.002214089
