Recall,NFS,SU,MacroF1
-0.9986855077226422,0.17424242424242425,-0.3520849483358808,-0.9982022876396026
-0.9991784423266513,0.2196969696969697,-0.4431040599920354,-0.9988760234130372
-0.9991784423266513,0.2196969696969697,-0.4431040599920354,-0.9988760234130372
-0.9991784423266513,0.2196969696969697,-0.4431040599920354,-0.9988760234130372
-0.9991784423266513,0.2196969696969697,-0.4431040599920354,-0.9988760234130372
-0.9991784423266513,0.2196969696969697,-0.4431040599920354,-0.9988760234130372
-0.9991784423266513,0.2196969696969697,-0.4431040599920354,-0.9988760234130372
-0.9991784423266513,0.2196969696969697,-0.4431040599920354,-0.9988760234130372
-0.9991784423266513,0.2196969696969697,-0.4431040599920354,-0.9988760234130372
-0.9991784423266513,0.2196969696969697,-0.4431040599920354,-0.9988760234130372
-0.9991784423266513,0.2196969696969697,-0.4431040599920354,-0.9988760234130372
-0.9991784423266513,0.24242424242424243,-0.47800038889108526,-0.9988760234130372
-0.9991784423266513,0.3181818181818182,-0.5994216505450652,-0.9988760234130372
-0.9991784423266513,0.3181818181818182,-0.5994216505450652,-0.9988760234130372
-0.9991784423266513,0.3333333333333333,-0.62281628968208,-0.9988760234130372
-0.9991784423266513,0.3409090909090909,-0.6342155389593369,-0.9988760234130372
-0.9991784423266513,0.3409090909090909,-0.6342155389593369,-0.9988760234130372
-0.9991784423266513,0.3409090909090909,-0.6342155389593369,-0.9988760234130372
-0.9991784423266513,0.3409090909090909,-0.6342155389593369,-0.9988760234130372
-0.9991784423266513,0.3484848484848485,-0.6464896074189995,-0.9988760234130372
-0.9991784423266513,0.3484848484848485,-0.6464896074189995,-0.9988760234130372
-0.9991784423266513,0.3484848484848485,-0.6464896074189995,-0.9988760234130372
-0.9991784423266513,0.4015151515151515,-0.7264154233004456,-0.9988760234130372
