"Generation","Time","cores","pause"
96,476.523008108139,"2","0.1"
97,480.801650047302,"2","0.1"
98,485.045922994614,"2","0.1"
99,489.940346956253,"2","0.1"
100,494.839504957199,"2","0.1"
1,98.3275940418243,"2","1"
2,145.219841957092,"2","1"
3,185.984873056412,"2","1"
4,229.147114038467,"2","1"
5,267.875241994858,"2","1"
6,313.0330119133,"2","1"
7,355.965271949768,"2","1"
8,401.877532958984,"2","1"
9,445.701665878296,"2","1"
10,487.469899892807,"2","1"
11,535.460628986359,"2","1"
12,576.265739917755,"2","1"
13,619.086435079575,"2","1"
14,665.934699058533,"2","1"
15,707.068104982376,"2","1"
16,751.979780912399,"2","1"
17,795.133167028427,"2","1"
18,840.135304927826,"2","1"
19,879.887500047684,"2","1"
20,924.789201021194,"2","1"
21,968.66125702858,"2","1"
22,1009.49815106392,"2","1"
23,1054.43409609795,"2","1"
24,1095.29426789284,"2","1"
25,1143.35312390327,"2","1"
26,1189.25276494026,"2","1"
27,1232.06521201134,"2","1"
28,1275.96437597275,"2","1"
29,1320.88401389122,"2","1"
30,1362.64035105705,"2","1"
31,1408.26342797279,"2","1"
32,1455.03986096382,"2","1"
33,1496.82989406586,"2","1"
34,1543.69264101982,"2","1"
35,1585.63430500031,"2","1"
36,1627.32531809807,"2","1"
37,1673.09960007668,"2","1"
38,1718.85017895699,"2","1"
39,1766.58570694923,"2","1"
40,1808.51055502892,"2","1"
41,1855.47633600235,"2","1"
42,1901.41474795341,"2","1"
43,1942.30812191963,"2","1"
44,1988.19003391266,"2","1"
45,2029.8560500145,"2","1"
46,2073.54105496407,"2","1"
47,2119.04254293442,"2","1"
48,2165.23653388023,"2","1"
49,2205.8979549408,"2","1"
50,2246.80319190025,"2","1"
51,2291.63485097885,"2","1"
52,2333.47458100319,"2","1"
53,2376.2027349472,"2","1"
54,2415.82875704765,"2","1"
55,2459.67414093018,"2","1"
56,2501.54501104355,"2","1"
57,2545.38595509529,"2","1"
58,2587.47738409042,"2","1"
